# Si5351A integer-mode settings that sweep CLK2 from 1 MHz to 30 MHz
# output_mhz = (25 MHz crystal * pll_multiplier) / clock_divider
# The 25 MHz crystal is on the Adafruit Si5351A breakout board
# The library limits pll_multiplier to 15..90 and clock_divider to 4..2048
# frequency_mhz,pll_multiplier,clock_divider
1,24,600
2,24,300
3,24,200
4,24,150
5,24,120
6,24,100
7,28,100
8,24,75
9,27,75
10,24,60
11,33,75
12,24,50
13,26,50
14,28,50
15,24,40
16,32,50
17,34,50
18,36,50
19,19,25
20,24,30
21,21,25
22,22,25
23,23,25
24,24,25
25,24,24
26,26,25
27,27,25
28,28,25
29,29,25
30,24,20
